pref_name	chembl_id	indication_class	mw_freebase	canonical_smiles
VILOXAZINE	CHEMBL306700	Antidepressant	237.30	CCOc1ccccc1OCC1CNCCO1
ESKETAMINE	CHEMBL395091		237.73	CN[C@]1(c2ccccc2Cl)CCCCC1=O
KETAMINE HYDROCHLORIDE	CHEMBL1714	Anesthetic	237.73	CNC1(c2ccccc2Cl)CCCCC1=O.Cl
ESKETAMINE HYDROCHLORIDE	CHEMBL2364609		237.73	CN[C@]1(c2ccccc2Cl)CCCCC1=O.Cl
KETAMINE	CHEMBL742	Anesthetic	237.73	CNC1(c2ccccc2Cl)CCCCC1=O
TILBROQUINOL	CHEMBL1788385		238.08	Cc1cc(Br)c(O)c2ncccc12
NITROFURANTOIN	CHEMBL572	Antibacterial (urinary)	238.16	O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
NITROFURANTOIN SODIUM	CHEMBL1201000		238.16	O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+]
RUFINAMIDE	CHEMBL1201754		238.20	NC(=O)c1cn(Cc2c(F)cccc2F)nn1
ACEFYLLINE PIPERAZINE	CHEMBL2106660		238.20	C1CNCCN1.Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O.Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O
ACEFYLLINE	CHEMBL70246		238.20	Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O
FELBAMATE	CHEMBL1094	Anti-Epileptic	238.24	NC(=O)OCC(COC(N)=O)c1ccccc1
PROXYPHYLLINE	CHEMBL37390		238.25	CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
SECOBARBITAL SODIUM	CHEMBL1200903	Sedative-Hypnotic	238.29	C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
SECOBARBITAL	CHEMBL447	Sedative-Hypnotic	238.29	C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
NOMIFENSINE	CHEMBL273575	Antidepressant	238.33	CN1Cc2c(N)cccc2C(c2ccccc2)C1
NOMIFENSINE MALEATE	CHEMBL1256842	Antidepressant	238.33	CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O
METHYLDOPATE	CHEMBL1201233	Antihypertensive	239.27	CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1
FLOSEQUINAN	CHEMBL1908307	Antihypertensive (vasodilator)	239.27	Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21
METHYLDOPATE HYDROCHLORIDE	CHEMBL1200432	Antihypertensive	239.27	CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1.Cl
ALBUTEROL	CHEMBL714	Bronchodilator	239.31	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
ISOETHARINE	CHEMBL1201213	Bronchodilator	239.31	CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
LEVALBUTEROL HYDROCHLORIDE	CHEMBL1201061	Bronchodilator; Asthma Prophylactic	239.31	CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.Cl
ISOETHARINE MESYLATE	CHEMBL1201153	Bronchodilator	239.31	CCC(NC(C)C)C(O)c1ccc(O)c(O)c1.CS(=O)(=O)O
ALBUTEROL SULFATE	CHEMBL1441059		239.31	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.O=S(=O)(O)O
ISOETHARINE HYDROCHLORIDE	CHEMBL1200920	Bronchodilator	239.31	CCC(NC(C)C)C(O)c1ccc(O)c(O)c1.Cl
LEVOSALBUTAMOL	CHEMBL1002	Bronchodilator; Asthma Prophylactic	239.31	CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1
LEVALBUTEROL TARTRATE	CHEMBL3989693		239.31	CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.O=C(O)C(O)C(O)C(=O)O
BENZPHETAMINE HYDROCHLORIDE	CHEMBL3544906		239.36	C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1.Cl
BENZPHETAMINE	CHEMBL3545985		239.36	C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1
BUPROPION	CHEMBL894	Antidepressant	239.75	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
BUPROPION HYDROBROMIDE	CHEMBL1201735		239.75	Br.CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
BUPROPION HYDROCHLORIDE	CHEMBL1698	Antidepressant	239.75	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl
DANTHRON	CHEMBL53418		240.21	O=C1c2cccc(O)c2C(=O)c2c(O)cccc21
FLUINDIONE	CHEMBL24924		240.23	O=C1c2ccccc2C(=O)C1c1ccc(F)cc1
PIRBUTEROL ACETATE	CHEMBL1200444	Bronchodilator	240.30	CC(=O)O.CC(C)(C)NCC(O)c1ccc(O)c(CO)n1
PIRBUTEROL	CHEMBL1094966	Bronchodilator	240.30	CC(C)(C)NCC(O)c1ccc(O)c(CO)n1
PIRBUTEROL HYDROCHLORIDE	CHEMBL3989646		240.30	CC(C)(C)NCC(O)c1ccc(O)c(CO)n1.Cl.Cl
IMIQUIMOD	CHEMBL1282	Immunomodulator	240.31	CC(C)Cn1cnc2c(N)nc3ccccc3c21
CYSTINE	CHEMBL590540	Amino Acid	240.31	N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
PHENIRAMINE	CHEMBL1193		240.35	CN(C)CCC(c1ccccc1)c1ccccn1
PHENIRAMINE MALEATE	CHEMBL1653		240.35	CN(C)CCC(c1ccccc1)c1ccccn1.O=C(O)/C=C\C(=O)O
PENTOLINIUM	CHEMBL1271		240.44	C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1
PENTOLINIUM TARTRATE	CHEMBL1318287		240.44	C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1.O=C([O-])[C@H](O)[C@@H](O)C(=O)O.O=C([O-])[C@H](O)[C@@H](O)C(=O)O
METHOCARBAMOL	CHEMBL1201117	Relaxant (skeletal muscle)	241.24	COc1ccccc1OCC(O)COC(N)=O
SAPROPTERIN	CHEMBL1201774		241.25	C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
SAPROPTERIN DIHYDROCHLORIDE	CHEMBL1201775		241.25	C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1.Cl.Cl
CHOLINE SALICYLATE	CHEMBL2104095		241.29	C[N+](C)(C)CCO.O=C([O-])c1ccccc1O
MEFENAMIC ACID	CHEMBL686	Anti-Inflammatory; Analgesic	241.29	Cc1cccc(Nc2ccccc2C(=O)O)c1C
MOXONIDINE	CHEMBL19236		241.68	COc1nc(C)nc(Cl)c1NC1=NCCN1
BENZOYL PEROXIDE	CHEMBL1200370	Keratolytic	242.23	O=C(OOC(=O)c1ccccc1)c1ccccc1
TELBIVUDINE	CHEMBL374731		242.23	Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O
MOLSIDOMINE	CHEMBL1329455		242.24	CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1
FENOPROFEN CALCIUM	CHEMBL2103736	Anti-Inflammatory; Analgesic	242.27	CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.O.O.[Ca+2]
MEXENONE	CHEMBL1898387		242.27	COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1
FENOPROFEN	CHEMBL1297	Analgesic; Anti-Inflammatory,Anti-Inflammatory; Analgesic	242.27	CC(C(=O)O)c1cccc(Oc2ccccc2)c1
THIOPENTAL SODIUM	CHEMBL738	Anesthetic (intravenous); Anticonvulsant	242.34	CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+]
THIOPENTAL	CHEMBL441	Anesthetic (intravenous); Anticonvulsant	242.34	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
CETYL ALCOHOL	CHEMBL706	Pharmaceutic Aid (emulsifying and stiffening agent)	242.45	CCCCCCCCCCCCCCCCO
TIPIRACIL HYDROCHLORIDE	CHEMBL65375		242.67	Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
TIPIRACIL	CHEMBL235668		242.67	N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
CLOFIBRATE	CHEMBL565	Antihyperlipidemic	242.70	CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
BRETYLIUM TOSYLATE	CHEMBL1095292	Cardiac Depressant (anti-arrhythmic); Anti-Adrenergic	243.17	CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1
BRETYLIUM	CHEMBL1199080	Cardiac Depressant (anti-arrhythmic); Anti-Adrenergic	243.17	CC[N+](C)(C)Cc1ccccc1Br
CYTARABINE	CHEMBL803	Antiviral,Antiviral; Antineoplastic	243.22	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
FROVATRIPTAN	CHEMBL1279		243.31	CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1
FROVATRIPTAN SUCCINATE	CHEMBL2138684		243.31	CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1.O.O=C(O)CCC(=O)O
AGOMELATINE	CHEMBL10878		243.31	COc1ccc2cccc(CCNC(C)=O)c2c1
AZACITIDINE	CHEMBL1489	Antineoplastic	244.21	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
RIBAVIRIN	CHEMBL1643	Antiviral	244.21	NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
ESFLURBIPROFEN	CHEMBL435298		244.26	C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
FLURBIPROFEN SODIUM	CHEMBL3989754		244.26	CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1.O.O.[Na+]
FLURBIPROFEN	CHEMBL563	Anti-Inflammatory; Analgesic,Inhibitor (prostaglandin synthesis)	244.26	CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
ETOMIDATE	CHEMBL681	Sedative-Hypnotic	244.29	CCOC(=O)c1cncn1[C@H](C)c1ccccc1
BIOTIN	CHEMBL857	Vitamin	244.32	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
XYLOMETAZOLINE HYDROCHLORIDE	CHEMBL1256400	Adrenergic (vasoconstrictor)	244.38	Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl
XYLOMETAZOLINE	CHEMBL312448	Adrenergic (vasoconstrictor)	244.38	Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
ISOAMINILE	CHEMBL2105002		244.38	CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C
APRACLONIDINE	CHEMBL647	Adrenergic (alpha12-agonist)	245.11	Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1
APRACLONIDINE HYDROCHLORIDE	CHEMBL1200379	Adrenergic (alpha12-agonist)	245.11	Cl.Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1
TASIMELTEON	CHEMBL2103822		245.32	CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2
PINACIDIL ANHYDROUS	CHEMBL1159	Antihypertensive	245.33	CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C
PINACIDIL	CHEMBL1200338	Antihypertensive	245.33	CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C.O
DEZOCINE	CHEMBL1685	Analgesic	245.37	C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N
PYROVALERONE	CHEMBL201960	Stimulant (central)	245.37	CCCC(C(=O)c1ccc(C)cc1)N1CCCC1
PYROVALERONE HYDROCHLORIDE	CHEMBL2104793	Stimulant (central)	245.37	CCCC(C(=O)c1ccc(C)cc1)N1CCCC1.Cl
CHLORPHENESIN CARBAMATE	CHEMBL607710	Relaxant (skeletal muscle)	245.66	NC(=O)OCC(O)COc1ccc(Cl)cc1
GUANFACINE	CHEMBL862	Antihypertensive	246.10	N=C(N)NC(=O)Cc1c(Cl)cccc1Cl
GUANFACINE HYDROCHLORIDE	CHEMBL1200494	Antihypertensive	246.10	Cl.N=C(N)NC(=O)Cc1c(Cl)cccc1Cl
FLOXURIDINE	CHEMBL917	Antiviral; Antineoplastic	246.19	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
MEPHOBARBITAL	CHEMBL45029	Anticonvulsant; Sedative-Hypnotic	246.27	CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
BUSULFAN	CHEMBL820		246.31	CS(=O)(=O)OCCCCOS(C)(=O)=O
LOXOPROFEN	CHEMBL19299		246.31	CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
MEPIVACAINE HYDROCHLORIDE	CHEMBL1200440	Anesthetic (local)	246.35	Cc1cccc(C)c1NC(=O)C1CCCCN1C.Cl
MEPIVACAINE	CHEMBL1087	Anesthetic (local)	246.35	Cc1cccc(C)c1NC(=O)C1CCCCN1C
LEVOMILNACIPRAN	CHEMBL99946		246.35	CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN
MILNACIPRAN	CHEMBL259209		246.35	CCN(CC)C(=O)C1(c2ccccc2)CC1CN
MILNACIPRAN HYDROCHLORIDE	CHEMBL4297064		246.35	CCN(CC)C(=O)C1(c2ccccc2)CC1CN.Cl
LEVOMILNACIPRAN HYDROCHLORIDE	CHEMBL2105732		246.35	CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN.Cl
EMTRICITABINE	CHEMBL885		247.25	Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
TINIDAZOLE	CHEMBL1220	Antiprotozoal	247.28	CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
MEPERIDINE	CHEMBL607	Analgesic (narcotic)	247.34	CCOC(=O)C1(c2ccccc2)CCN(C)CC1
MEPERIDINE HYDROCHLORIDE	CHEMBL1701	Analgesic (narcotic)	247.34	CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl
NITREFAZOLE	CHEMBL1909285		248.20	Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1
DAPSONE	CHEMBL1043	Antibacterial (leprostatic); Suppressant (dermatitis herpetiformis)	248.31	Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
ENOXIMONE	CHEMBL249856	Cardiotonic	248.31	CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1
PINDOLOL	CHEMBL500	Vasodilator	248.33	CC(C)NCC(O)COc1cccc2[nH]ccc12
PYRIMETHAMINE	CHEMBL36	Antimalarial	248.72	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
ALENDRONIC ACID	CHEMBL870	Bone Resorption Inhibitor	249.10	NCCCC(O)(P(=O)(O)O)P(=O)(O)O
ALENDRONATE SODIUM	CHEMBL675	Bone Resorption Inhibitor	249.10	NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+]
SULFAPYRIDINE	CHEMBL700	Suppressant (dermatitis herpetiformis)	249.30	Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
ERDOSTEINE	CHEMBL1697744		249.31	O=C(O)CSCC(=O)NC1CCSC1=O
EPINASTINE	CHEMBL1106		249.32	NC1=NCC2c3ccccc3Cc3ccccc3N12
EPINASTINE HYDROCHLORIDE	CHEMBL1200491		249.32	Cl.NC1=NCC2c3ccccc3Cc3ccccc3N12
DIFLUNISAL	CHEMBL898	Analgesic; Anti-Inflammatory	250.20	O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
SULFADIAZINE	CHEMBL439	Anti-Infective, Topical,Antibacterial	250.28	Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
SULFADIAZINE SODIUM	CHEMBL1200351	Antibacterial	250.28	Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Na+]
SULFADIAZINE, SILVER	CHEMBL1382627	Anti-Infective, Topical	250.28	Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+]
CINOXATE	CHEMBL2104045	Ultraviolet Screen	250.29	CCOCCOC(=O)/C=C/c1ccc(OC)cc1
METHAQUALONE	CHEMBL282052	Sedative-Hypnotic	250.30	Cc1ccccc1-n1c(C)nc2ccccc2c1=O
METHAQUALONE HYDROCHLORIDE	CHEMBL2106829		250.30	Cc1ccccc1-n1c(C)nc2ccccc2c1=O.Cl
LACOSAMIDE	CHEMBL58323		250.30	COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1
RIVASTIGMINE TARTRATE	CHEMBL215645		250.34	CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1.O=C(O)C(O)C(O)C(=O)O
GEMFIBROZIL	CHEMBL457	Antihyperlipidemic	250.34	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
RIVASTIGMINE	CHEMBL636		250.34	CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
CRISABOROLE	CHEMBL484785		251.05	N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1
PIRPROFEN	CHEMBL188952	Anti-Inflammatory	251.71	CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1
URACIL MUSTARD	CHEMBL1488	Antineoplastic	252.10	Oc1ncc(N(CCCl)CCCl)c(O)n1
OXCARBAZEPINE	CHEMBL1068		252.27	NC(=O)N1c2ccccc2CC(=O)c2ccccc21
PHENYTOIN SODIUM	CHEMBL1611	Anticonvulsant	252.27	O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
ANISINDIONE	CHEMBL712		252.27	COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
PHENYTOIN	CHEMBL16	Anticonvulsant	252.27	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
CIMETIDINE	CHEMBL30	Antagonist (to histamine-H2 receptors)	252.35	CN/C(=N\CCSCc1nc[nH]c1C)NC#N
CIMETIDINE HYDROCHLORIDE	CHEMBL1201051	Antagonist (to histamine-H2 receptors)	252.35	CN/C(=N\CCSCc1nc[nH]c1C)NC#N.Cl
PENCICLOVIR SODIUM	CHEMBL2079793		253.26	Nc1nc([O-])c2ncn(CCC(CO)CO)c2n1.[Na+]
PENCICLOVIR	CHEMBL1540	Antiviral	253.26	Nc1nc(O)c2ncn(CCC(CO)CO)c2n1
TRIAMTERENE	CHEMBL585	Diuretic	253.27	Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
SULFAMETHOXAZOLE	CHEMBL443	Antibacterial	253.28	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
NEFOPAM HYDROCHLORIDE	CHEMBL1407915	Analgesic	253.35	CN1CCOC(c2ccccc2)c2ccccc2C1.Cl
NEFOPAM	CHEMBL465026	Analgesic	253.35	CN1CCOC(c2ccccc2)c2ccccc2C1
FENCLOZIC ACID	CHEMBL1909282		253.71	O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1
TIZANIDINE	CHEMBL1079	Antispasmodic	253.72	Clc1ccc2nsnc2c1NC1=NCCN1
TIZANIDINE HYDROCHLORIDE	CHEMBL1200329	Antispasmodic	253.72	Cl.Clc1ccc2nsnc2c1NC1=NCCN1
PROGUANIL	CHEMBL1377		253.74	CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1
PROGUANIL HYDROCHLORIDE	CHEMBL1201059		253.74	CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1.Cl
IODINE	CHEMBL1201225	Anti-Infective, Topical	253.81	II
DYPHYLLINE	CHEMBL1752	Bronchodilator	254.25	Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
FENBUFEN	CHEMBL277522	Anti-Inflammatory	254.28	O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
NEPAFENAC	CHEMBL1021		254.29	NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
ESLICARBAZEPINE	CHEMBL315985		254.29	NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21
DEXKETOPROFEN	CHEMBL75435		254.29	C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
MIDODRINE HYDROCHLORIDE	CHEMBL1200461	Antihypotensive	254.29	COc1ccc(OC)c(C(O)CNC(=O)CN)c1.Cl
KETOPROFEN	CHEMBL571	Anti-Inflammatory	254.29	CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
MIDODRINE	CHEMBL1201212	Antihypotensive	254.29	COc1ccc(OC)c(C(O)CNC(=O)CN)c1
TAPINAROF	CHEMBL259571		254.33	CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O
THIAMYLAL	CHEMBL440	Anesthetic (intravenous)	254.35	C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
THIAMYLAL SODIUM	CHEMBL1201065	Anesthetic (intravenous)	254.35	C=CCC1(C(C)CCC)C(=O)[N-]C(=S)NC1=O.[Na+]
THEOPHYLLINE GLYCINATE	CHEMBL1208646	Relaxant (smooth muscle)	255.23	Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)O
GANCICLOVIR	CHEMBL182	Antiviral	255.23	Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
THEOPHYLLINE SODIUM GLYCINATE	CHEMBL1200578	Relaxant (smooth muscle)	255.23	Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)[O-].[Na+]
GANCICLOVIR SODIUM	CHEMBL1200850	Antiviral	255.23	Nc1nc([O-])c2ncn(COC(CO)CO)c2n1.[Na+]
DIROXIMEL FUMARATE	CHEMBL3989944		255.23	COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O
KETOROLAC TROMETHAMINE	CHEMBL1201124	Analgesic	255.27	NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
KETOROLAC	CHEMBL469	Analgesic	255.27	O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
SULFATHIAZOLE	CHEMBL437	Antibacterial	255.32	Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
DIPHENHYDRAMINE CITRATE	CHEMBL1201089	Antihistaminic	255.36	CN(C)CCOC(c1ccccc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
ATOMOXETINE	CHEMBL641		255.36	CNCC[C@@H](Oc1ccccc1C)c1ccccc1
DIPHENHYDRAMINE	CHEMBL657	Antihistaminic	255.36	CN(C)CCOC(c1ccccc1)c1ccccc1
ATOMOXETINE HYDROCHLORIDE	CHEMBL1702		255.36	CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl
DIPHENHYDRAMINE HYDROCHLORIDE	CHEMBL1620	Antihistaminic	255.36	CN(C)CCOC(c1ccccc1)c1ccccc1.Cl
TRIPELENNAMINE	CHEMBL1241	Antihistaminic	255.37	CN(C)CCN(Cc1ccccc1)c1ccccn1
TRIPELENNAMINE CITRATE	CHEMBL1200769	Antihistaminic	255.37	CN(C)CCN(Cc1ccccc1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O
TRIPELENNAMINE HYDROCHLORIDE	CHEMBL1200446	Antihistaminic	255.37	CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl
CLOFOREX	CHEMBL1697686		255.75	CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1
CLOBUTINOL	CHEMBL1474889		255.79	CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1
ANAGRELIDE HYDROCHLORIDE	CHEMBL1200759	Antithrombotic	256.09	Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
ANAGRELIDE	CHEMBL760	Antithrombotic	256.09	O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
LAMOTRIGINE	CHEMBL741	Anticonvulsant	256.10	Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
ECHOTHIOPHATE IODIDE	CHEMBL1200367	Cholinergic (ophthalmic)	256.33	CCOP(=O)(OCC)SCC[N+](C)(C)C.[I-]
ECHOTHIOPHATE	CHEMBL1201341	Cholinergic (ophthalmic)	256.33	CCOP(=O)(OCC)SCC[N+](C)(C)C
SULFUR	CHEMBL1235452		256.54	S1SSSSSSS1
BENSERAZIDE	CHEMBL1096979	Inhibitor (decarboxylase)	257.25	NC(CO)C(=O)NNCc1ccc(O)c(O)c1O
TOLMETIN SODIUM	CHEMBL1200613	Anti-Inflammatory	257.29	Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.[Na+]
TOLMETIN	CHEMBL1020	Anti-Inflammatory	257.29	Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
MEDIFOXAMINE	CHEMBL85231		257.33	CN(C)CC(Oc1ccccc1)Oc1ccccc1
LEVORPHANOL TARTRATE	CHEMBL3989768		257.38	CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O.O.O=C(O)C(O)C(O)C(=O)O
LEVORPHANOL	CHEMBL592	Analgesic (narcotic)	257.38	CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
TRICHLORFON	CHEMBL167150	Anthelmintic (veterinary)	257.44	COP(=O)(OC)C(O)C(Cl)(Cl)Cl
GLYCEROL, IODINATED	CHEMBL2105827	Expectorant	258.05	CC(I)C1OCC(CO)O1
SODIUM CITRATE	CHEMBL1355	Alkalizer (systemic)	258.07	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+]
THALIDOMIDE	CHEMBL468	Sedative-Hypnotic	258.23	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
SALSALATE	CHEMBL154111	Anti-Inflammatory; Analgesic	258.23	O=C(Oc1ccccc1C(=O)O)c1ccccc1O
ACETOMENAPHTHONE	CHEMBL1479848		258.27	CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12
ETHOXZOLAMIDE	CHEMBL18		258.32	CCOc1ccc2nc(S(N)(=O)=O)sc2c1
DECAMETHONIUM	CHEMBL1190		258.49	C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C
DECAMETHONIUM BROMIDE	CHEMBL1134		258.49	C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-]
LOFEXIDINE HYDROCHLORIDE	CHEMBL1788132	Antihypertensive	259.14	CC(Oc1c(Cl)cccc1Cl)C1=NCCN1.Cl
LOFEXIDINE	CHEMBL17860	Antihypertensive	259.14	CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
LENALIDOMIDE	CHEMBL848		259.26	Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
PRIMAQUINE	CHEMBL506	Antimalarial	259.35	COc1cc(NC(C)CCCN)c2ncccc2c1
RAMELTEON	CHEMBL1218		259.35	CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3
PROPRANOLOL HYDROCHLORIDE	CHEMBL1671	Cardiac Depressant (anti-arrhythmic); Anti-Adrenergic (beta-receptor)	259.35	CC(C)NCC(O)COc1cccc2ccccc12.Cl
PRIMAQUINE PHOSPHATE	CHEMBL43128	Antimalarial	259.35	COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O
PROPRANOLOL	CHEMBL27	Cardiac Depressant (anti-arrhythmic); Anti-Adrenergic (beta-receptor)	259.35	CC(C)NCC(O)COc1cccc2ccccc12
BENZNIDAZOLE	CHEMBL110		260.25	O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
